queryid_pep	pfam_id	pfam_description
evm.model.HIC_ASM_8.947_Akon	PF08246	Cathepsin propeptide inhibitor domain (I29)
evm.model.HIC_ASM_4.738_Akon	PF14716	Helix-hairpin-helix domain
evm.model.HIC_ASM_4.738_Akon	PF14791	DNA polymerase beta thumb
evm.model.HIC_ASM_4.738_Akon	PF14792	DNA polymerase beta palm
evm.model.HIC_ASM_4.738_Akon	PF10391	Fingers domain of DNA polymerase lambda
evm.model.CTG_3037.2_Akon	PF05697	Bacterial trigger factor protein (TF)
evm.model.HIC_ASM_2.89_Akon	PF00067	Cytochrome P450
evm.model.CTG_18278.3_Akon	PF13639	Ring finger domain
evm.model.CTG_10847.10_Akon	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
evm.model.HIC_ASM_1.10635_Akon	PF00244	14-3-3 protein
evm.model.HIC_ASM_1.454_Akon	PF13664	Domain of unknown function (DUF4149)
evm.model.HIC_ASM_5.12256_Akon	PF00454	Phosphatidylinositol 3- and 4-kinase
evm.model.HIC_ASM_5.12256_Akon	PF00613	Phosphoinositide 3-kinase family, accessory domain (PIK domain)
evm.model.HIC_ASM_4.13580_Akon	PF01357	Pollen allergen
evm.model.HIC_ASM_4.13580_Akon	PF03330	Lytic transglycolase
evm.model.HIC_ASM_2.247_Akon	PF03321	GH3 auxin-responsive promoter
evm.model.HIC_ASM_12.4359_Akon	PF08507	COPI associated protein
evm.model.CTG_17476.11_Akon	PF08392	FAE1/Type III polyketide synthase-like protein
evm.model.CTG_17476.11_Akon	PF08541	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
evm.model.HIC_ASM_0.2670_Akon	PF13963	Transposase-associated domain
evm.model.HIC_ASM_0.2670_Akon	PF13960	Domain of unknown function (DUF4218)
evm.model.HIC_ASM_6.3574_Akon	PF13963	Transposase-associated domain
evm.model.HIC_ASM_6.3574_Akon	PF13960	Domain of unknown function (DUF4218)
evm.model.HIC_ASM_4.6440_Akon	PF13963	Transposase-associated domain
evm.model.HIC_ASM_4.6440_Akon	PF13960	Domain of unknown function (DUF4218)
evm.model.HIC_ASM_0.774_Akon	PF01194	RNA polymerases N / 8 kDa subunit
evm.model.HIC_ASM_10.6853_Akon	PF00249	Myb-like DNA-binding domain
evm.model.CTG_9042.7_Akon	PF02996	Prefoldin subunit
evm.model.CTG_16454.1_Akon	PF00145	C-5 cytosine-specific DNA methylase
evm.model.HIC_ASM_0.2537_Akon	PF00145	C-5 cytosine-specific DNA methylase
evm.model.HIC_ASM_4.2433_Akon	PF11820	Protein of unknown function (DUF3339)
evm.model.HIC_ASM_4.2445_Akon	PF11820	Protein of unknown function (DUF3339)
evm.model.HIC_ASM_3.145_Akon	PF01593	Flavin containing amine oxidoreductase
evm.model.HIC_ASM_1.220_evm.model.HIC_ASM_1.221_Akon	PF00514	Armadillo/beta-catenin-like repeat
evm.model.HIC_ASM_1.220_evm.model.HIC_ASM_1.221_Akon	PF00651	BTB/POZ domain
evm.model.HIC_ASM_6.9156_Akon	PF00255	Glutathione peroxidase
evm.model.CTG_15485.14_Akon	PF00464	Serine hydroxymethyltransferase
evm.model.HIC_ASM_8.7381_Akon	PF00201	UDP-glucoronosyl and UDP-glucosyl transferase
evm.model.HIC_ASM_4.6635_Akon	PF00861	Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast
evm.model.CTG_5072.2_evm.model.CTG_5072.4_Akon	PF00472	RF-1 domain
evm.model.CTG_5072.2_evm.model.CTG_5072.4_Akon	PF03462	PCRF domain
evm.model.HIC_ASM_5.12040_Akon	PF08694	Ubiquitin-fold modifier-conjugating enzyme 1
evm.model.HIC_ASM_9.9733_Akon	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
evm.model.HIC_ASM_12.5088_Akon	PF07910	Peptidase family C78
evm.model.HIC_ASM_6.8027_Akon	PF00657	GDSL-like Lipase/Acylhydrolase
evm.model.HIC_ASM_1.1149_Akon	PF00320	GATA zinc finger
evm.model.HIC_ASM_1.1149_Akon	PF13919	Asx homology domain
evm.model.HIC_ASM_12.2053_Akon	PF00295	Glycosyl hydrolases family 28
evm.model.HIC_ASM_4.13668_Akon	PF01764	Lipase (class 3)
evm.model.HIC_ASM_0.6365_Akon	PF02507	Photosystem I reaction centre subunit III
evm.model.HIC_ASM_1.2052_Akon	PF00504	Chlorophyll A-B binding protein
evm.model.HIC_ASM_10.55_Akon	PF00083	Sugar (and other) transporter
evm.model.CTG_1961.3_Akon	PF04758	Ribosomal protein S30
evm.model.HIC_ASM_5.3612_Akon	PF04758	Ribosomal protein S30
evm.model.HIC_ASM_8.6323_Akon	PF00249	Myb-like DNA-binding domain
evm.model.HIC_ASM_7.7458_Akon	PF04116	Fatty acid hydroxylase superfamily
evm.model.HIC_ASM_9.9828_Akon	PF16211	C-terminus of histone H2A
evm.model.HIC_ASM_9.9828_Akon	PF00125	Core histone H2A/H2B/H3/H4
evm.model.CTG_10123.2_Akon	PF09713	Plant protein 1589 of unknown function (A_thal_3526)
evm.model.CTG_15127.2_Akon	PF09713	Plant protein 1589 of unknown function (A_thal_3526)
evm.model.CTG_2443.10_Akon	PF13234	rRNA-processing arch domain
evm.model.CTG_2443.10_Akon	PF08148	DSHCT (NUC185) domain
evm.model.HIC_ASM_10.1918_Akon	PF13639	Ring finger domain
evm.model.HIC_ASM_4.14845_Akon	PF10509	Galactokinase galactose-binding signature
evm.model.HIC_ASM_11.5529_Akon	PF00810	ER lumen protein retaining receptor
evm.model.HIC_ASM_1.4727_Akon	PF05536	Neurochondrin
evm.model.HIC_ASM_5.11377_Akon	PF00098	Zinc knuckle
evm.model.HIC_ASM_5.11377_Akon	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
evm.model.HIC_ASM_5.11337_Akon	PF00098	Zinc knuckle
evm.model.HIC_ASM_5.11337_Akon	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
evm.model.HIC_ASM_3.993_Akon	PF00564	PB1 domain
evm.model.HIC_ASM_4.1553_Akon	PF14429	C2 domain in Dock180 and Zizimin proteins
evm.model.HIC_ASM_1.56_Akon	PF10584	Proteasome subunit A N-terminal signature
evm.model.HIC_ASM_1.56_Akon	PF00227	Proteasome subunit
evm.model.CTG_14290.5_Akon	PF00481	Protein phosphatase 2C
evm.model.HIC_ASM_4.508_Akon	PF00083	Sugar (and other) transporter
evm.model.HIC_ASM_11.2887_Akon	PF04080	Per1-like family
evm.model.HIC_ASM_4.12172_Akon	PF04080	Per1-like family
evm.model.HIC_ASM_8.6756_Akon	PF04080	Per1-like family
evm.model.HIC_ASM_6.8596_Akon	PF00400	WD domain, G-beta repeat
evm.model.HIC_ASM_6.8596_Akon	PF08154	NLE (NUC135) domain
evm.model.CTG_6316.5_Akon	PF01554	MatE
evm.model.HIC_ASM_0.2782_Akon	PF01399	PCI domain
evm.model.HIC_ASM_0.2119_Akon	PF02902	Ulp1 protease family, C-terminal catalytic domain
evm.model.HIC_ASM_7.156_Akon	PF00804	Syntaxin
evm.model.HIC_ASM_11.2453_Akon	PF00628	PHD-finger
evm.model.HIC_ASM_11.2453_Akon	PF00271	Helicase conserved C-terminal domain
evm.model.HIC_ASM_11.2453_Akon	PF00385	Chromo (CHRromatin Organisation MOdifier) domain
evm.model.HIC_ASM_11.2453_Akon	PF06461	Domain of Unknown Function (DUF1086)
evm.model.HIC_ASM_11.2453_Akon	PF06465	Domain of Unknown Function (DUF1087)
evm.model.HIC_ASM_11.2453_Akon	PF00176	SNF2 family N-terminal domain
evm.model.HIC_ASM_6.7501_Akon	PF00226	DnaJ domain
evm.model.HIC_ASM_4.13238_Akon	PF00069	Protein kinase domain
evm.model.CTG_28.10_Akon	PF10539	Development and cell death domain
evm.model.HIC_ASM_4.7498_Akon	PF00294	pfkB family carbohydrate kinase
evm.model.HIC_ASM_10.415_Akon	PF04427	Brix domain
evm.model.HIC_ASM_9.389_evm.model.HIC_ASM_9.390_evm.model.HIC_ASM_9.391_Akon	PF00967	Barwin family
evm.model.HIC_ASM_8.893_Akon	PF09585	Conserved hypothetical protein (Lin0512_fam)
evm.model.HIC_ASM_10.567_Akon	PF05922	Peptidase inhibitor I9
evm.model.HIC_ASM_10.567_Akon	PF17766	fn3_6
evm.model.HIC_ASM_10.567_Akon	PF00082	Subtilase family
evm.model.HIC_ASM_10.567_Akon	PF02225	PA domain
evm.model.HIC_ASM_10.578_Akon	PF05922	Peptidase inhibitor I9
evm.model.HIC_ASM_10.578_Akon	PF17766	fn3_6
evm.model.HIC_ASM_10.578_Akon	PF00082	Subtilase family
evm.model.HIC_ASM_10.578_Akon	PF02225	PA domain
evm.model.HIC_ASM_9.345_Akon	PF00909	Ammonium Transporter Family
evm.model.CTG_8102.1_Akon	PF00230	Major intrinsic protein
evm.model.HIC_ASM_5.8939_Akon	PF01207	Dihydrouridine synthase (Dus)
evm.model.HIC_ASM_2.7299_Akon	PF06747	CHCH domain
evm.model.HIC_ASM_4.12366_Akon	PF00503	G-protein alpha subunit
evm.model.CTG_7831.5_Akon	PF00244	14-3-3 protein
evm.model.HIC_ASM_8.7165_Akon	PF01176	Translation initiation factor 1A / IF-1
evm.model.HIC_ASM_10.1642_Akon	PF00071	Ras family
evm.model.HIC_ASM_5.8859_Akon	PF00690	Cation transporter/ATPase, N-terminus
evm.model.HIC_ASM_11.6647_Akon	PF03330	Lytic transglycolase
evm.model.HIC_ASM_11.6647_Akon	PF01357	Pollen allergen
evm.model.HIC_ASM_10.1475_Akon	PF04422	Coenzyme F420 hydrogenase/dehydrogenase, beta subunit N-term
evm.model.HIC_ASM_10.1475_Akon	PF04432	Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C terminus
evm.model.HIC_ASM_9.7741_Akon	PF02990	Endomembrane protein 70
evm.model.HIC_ASM_5.9856_Akon	PF05676	NADH-ubiquinone oxidoreductase B18 subunit (NDUFB7)
evm.model.CTG_18987.4_Akon	PF10409	C2 domain of PTEN tumour-suppressor protein
evm.model.HIC_ASM_10.1261_Akon	PF03819	MazG
evm.model.HIC_ASM_2.5585_Akon	PF07837	Formiminotransferase domain, N-terminal subdomain
evm.model.HIC_ASM_11.6987_evm.model.HIC_ASM_11.6988_Akon	PF00153	Mitochondrial carrier protein
evm.model.CTG_7005.12_Akon	PF00010	Helix-loop-helix DNA-binding domain
evm.model.HIC_ASM_5.127_Akon	PF00010	Helix-loop-helix DNA-binding domain
evm.model.HIC_ASM_6.9376_Akon	PF00180	Isocitrate/isopropylmalate dehydrogenase
evm.model.CTG_10208.4_evm.model.CTG_10208.5_Akon	PF00120	Glutamine synthetase, catalytic domain
evm.model.CTG_10208.4_evm.model.CTG_10208.5_Akon	PF03951	Glutamine synthetase, beta-Grasp domain
evm.model.HIC_ASM_0.5571_Akon	PF08423	Rad51
evm.model.HIC_ASM_5.6927_Akon	PF00012	Hsp70 protein
evm.model.HIC_ASM_6.8603_Akon	PF01370	NAD dependent epimerase/dehydratase family
evm.model.HIC_ASM_8.60_Akon	PF00180	Isocitrate/isopropylmalate dehydrogenase
evm.model.HIC_ASM_5.667_Akon	PF03330	Lytic transglycolase
evm.model.HIC_ASM_5.667_Akon	PF01357	Pollen allergen
evm.model.CTG_19922.4_Akon	PF09743	E3 UFM1-protein ligase 1
evm.model.HIC_ASM_5.4830.1_Akon	PF02705	K+ potassium transporter
evm.model.HIC_ASM_8.296.1_Akon	PF01161	Phosphatidylethanolamine-binding protein
evm.model.HIC_ASM_12.4278_Akon	PF08240	Alcohol dehydrogenase GroES-like domain
evm.model.HIC_ASM_12.4278_Akon	PF00107	Zinc-binding dehydrogenase
evm.model.HIC_ASM_4.14901_Akon	PF05251	Oligosaccharyltransferase subunit 5
evm.model.HIC_ASM_2.917_Akon	PF01199	Ribosomal protein L34e
evm.model.CTG_12635.8_Akon	PF09811	Essential protein Yae1, N terminal
evm.model.HIC_ASM_7.7213_Akon	PF00106	short chain dehydrogenase
evm.model.HIC_ASM_1.2512_Akon	PF02298	Plastocyanin-like domain
evm.model.HIC_ASM_5.12171_Akon	PF00642	Zinc finger C-x8-C-x5-C-x3-H type (and similar)
evm.model.HIC_ASM_5.12171_Akon	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
evm.model.HIC_ASM_6.9215_Akon	PF01246	Ribosomal protein L24e
evm.model.CTG_17628.5_Akon	PF01246	Ribosomal protein L24e
evm.model.HIC_ASM_4.12709_Akon	PF19031	Intu_longin_1
evm.model.HIC_ASM_11.6535_Akon	PF00012	Hsp70 protein
evm.model.HIC_ASM_11.382_Akon	PF08991	MTCP1
evm.model.HIC_ASM_2.3129_Akon	PF13812	Pentatricopeptide repeat domain
evm.model.HIC_ASM_3.514_Akon	PF03547	Membrane transport protein
evm.model.CTG_18822.6_Akon	PF03547	Membrane transport protein
evm.model.HIC_ASM_0.5797_Akon	PF03547	Membrane transport protein
evm.model.HIC_ASM_11.269_Akon	PF01599	Ribosomal protein S27a
evm.model.HIC_ASM_11.269_Akon	PF00240	Ubiquitin family
evm.model.CTG_5778.6_Akon	PF00249	Myb-like DNA-binding domain
evm.model.HIC_ASM_2.194_Akon	PF02861	Clp amino terminal domain, pathogenicity island component
evm.model.HIC_ASM_1.1435_Akon	PF03660	PHF5-like protein
evm.model.HIC_ASM_5.11278_Akon	PF14368	Probable lipid transfer
evm.model.HIC_ASM_1.2035_Akon	PF00504	Chlorophyll A-B binding protein
evm.model.HIC_ASM_6.3136_Akon	PF06351	Allene oxide cyclase
evm.model.HIC_ASM_6.3137_Akon	PF06351	Allene oxide cyclase
evm.model.HIC_ASM_0.4925_Akon	PF00091	Tubulin/FtsZ family, GTPase domain
evm.model.HIC_ASM_9.969_Akon	PF03878	YIF1
evm.model.HIC_ASM_9.9554_Akon	PF00011	Hsp20/alpha crystallin family
evm.model.HIC_ASM_4.1176_Akon	PF00270	DEAD/DEAH box helicase
evm.model.CTG_3430.11_Akon	PF00270	DEAD/DEAH box helicase
evm.model.HIC_ASM_5.8694_Akon	PF00270	DEAD/DEAH box helicase
evm.model.HIC_ASM_4.1869.1_Akon	PF04588	Hypoxia induced protein conserved region
evm.model.HIC_ASM_1.1103_Akon	PF16450	Prot_ATP_ID_OB
evm.model.HIC_ASM_1.1103_Akon	PF00004	ATPase family associated with various cellular activities (AAA)
evm.model.HIC_ASM_1.1103_Akon	PF17862	AAA_lid_3
evm.model.CTG_12249.1_Akon	PF00504	Chlorophyll A-B binding protein
evm.model.CTG_12094.8_Akon	PF00504	Chlorophyll A-B binding protein
evm.model.HIC_ASM_1.2015_Akon	PF00504	Chlorophyll A-B binding protein
evm.model.HIC_ASM_5.11166_Akon	PF00505	HMG (high mobility group) box
evm.model.HIC_ASM_3.325_Akon	PF00587	tRNA synthetase class II core domain (G, H, P, S and T)
evm.model.HIC_ASM_3.325_Akon	PF03129	Anticodon binding domain
evm.model.HIC_ASM_4.8631_Akon	PF00587	tRNA synthetase class II core domain (G, H, P, S and T)
evm.model.HIC_ASM_4.8631_Akon	PF03129	Anticodon binding domain
evm.model.HIC_ASM_9.6728_Akon	PF00587	tRNA synthetase class II core domain (G, H, P, S and T)
evm.model.HIC_ASM_9.6728_Akon	PF03129	Anticodon binding domain
evm.model.CTG_13738.6_Akon	PF07859	alpha/beta hydrolase fold
evm.model.HIC_ASM_0.5381_Akon	PF07743	HSCB C-terminal oligomerisation domain
evm.model.HIC_ASM_0.3774_Akon	PF01293	Phosphoenolpyruvate carboxykinase
evm.model.HIC_ASM_0.3777_Akon	PF01293	Phosphoenolpyruvate carboxykinase
evm.model.CTG_13921.2_Akon	PF00141	Peroxidase
evm.model.HIC_ASM_2.6192_Akon	PF00141	Peroxidase
evm.model.CTG_19376.3_Akon	PF01694	Rhomboid family
evm.model.HIC_ASM_10.153_Akon	PF01694	Rhomboid family
evm.model.HIC_ASM_2.45_Akon	PF01694	Rhomboid family
evm.model.HIC_ASM_7.309_Akon	PF01694	Rhomboid family
evm.model.CTG_6585.3_Akon	PF01694	Rhomboid family
evm.model.HIC_ASM_5.2910_Akon	PF01694	Rhomboid family
evm.model.CTG_17281.1_Akon	PF01694	Rhomboid family
evm.model.HIC_ASM_4.1833_Akon	PF03822	NAF domain
evm.model.HIC_ASM_4.1833_Akon	PF00069	Protein kinase domain
evm.model.CTG_11542.6_Akon	PF10238	E2F-associated phosphoprotein
evm.model.HIC_ASM_5.5939_Akon	PF00293	NUDIX domain
evm.model.CTG_3765.3_Akon	PF07727	Reverse transcriptase (RNA-dependent DNA polymerase)
evm.model.CTG_6855.6_Akon	PF11886	Translocase of chloroplast 159/132, membrane anchor domain
evm.model.CTG_12078.2_Akon	PF10063	Uncharacterized integral membrane protein (DUF2301)
evm.model.HIC_ASM_8.6938_Akon	PF10063	Uncharacterized integral membrane protein (DUF2301)
evm.model.CTG_11029.19_Akon	PF04982	HPP family
evm.model.CTG_8222.8_Akon	PF03878	YIF1
evm.model.HIC_ASM_5.704_Akon	PF01103	Surface antigen
evm.model.HIC_ASM_0.515_Akon	PF01490	Transmembrane amino acid transporter protein
evm.model.CTG_19460.4_Akon	PF00270	DEAD/DEAH box helicase
evm.model.CTG_19460.4_Akon	PF00271	Helicase conserved C-terminal domain
evm.model.HIC_ASM_5.11743_Akon	PF00557	Metallopeptidase family M24
evm.model.HIC_ASM_5.11743_Akon	PF16188	C-terminal region of peptidase_M24
evm.model.HIC_ASM_11.6749_Akon	PF12357	Phospholipase D C terminal
evm.model.HIC_ASM_11.6749_Akon	PF00614	Phospholipase D Active site motif
evm.model.CTG_18237.5_Akon	PF00004	ATPase family associated with various cellular activities (AAA)
evm.model.CTG_18237.5_Akon	PF17862	AAA_lid_3
evm.model.HIC_ASM_1.10613_Akon	PF00166	Chaperonin 10 Kd subunit
evm.model.HIC_ASM_4.12616_Akon	PF00166	Chaperonin 10 Kd subunit
evm.model.CTG_17070.1_Akon	PF05368	NmrA-like family
evm.model.HIC_ASM_0.1952_Akon	PF10607	CTLH/CRA C-terminal to LisH motif domain
evm.model.CTG_7307.61_Akon	PF00069	Protein kinase domain
evm.model.CTG_15488.1_Akon	PF00249	Myb-like DNA-binding domain
evm.model.HIC_ASM_0.4325_Akon	PF00573	Ribosomal protein L4/L1 family
evm.model.HIC_ASM_6.1069_Akon	PF01556	DnaJ C terminal domain
evm.model.CTG_18185.7_Akon	PF01556	DnaJ C terminal domain
evm.model.HIC_ASM_4.3080_Akon	PF01556	DnaJ C terminal domain
evm.model.HIC_ASM_4.13820_Akon	PF04844	Transcriptional repressor, ovate
evm.model.CTG_9491.6_Akon	PF06454	Protein of unknown function (DUF1084)
evm.model.HIC_ASM_2.5864_Akon	PF06507	Auxin response factor
evm.model.HIC_ASM_2.5864_Akon	PF02362	B3 DNA binding domain
evm.model.CTG_12591.2_Akon	PF00673	ribosomal L5P family C-terminus
evm.model.CTG_12591.2_Akon	PF00281	Ribosomal protein L5
evm.model.HIC_ASM_1.2666_Akon	PF01907	Ribosomal protein L37e
evm.model.HIC_ASM_1.8227_Akon	PF05625	PAXNEB protein
evm.model.HIC_ASM_0.4976_Akon	PF13499	EF-hand domain pair
evm.model.CTG_18010.8_Akon	PF06984	Mitochondrial 39-S ribosomal protein L47 (MRP-L47)
evm.model.HIC_ASM_4.625_Akon	PF12678	RING-H2 zinc finger domain
evm.model.HIC_ASM_0.229_Akon	PF01423	LSM domain
evm.model.HIC_ASM_6.7442_Akon	PF03571	Peptidase family M49
evm.model.HIC_ASM_2.5832_Akon	PF00270	DEAD/DEAH box helicase
evm.model.HIC_ASM_2.5832_Akon	PF00271	Helicase conserved C-terminal domain
evm.model.HIC_ASM_4.12965_Akon	PF03650	Uncharacterised protein family (UPF0041)
evm.model.HIC_ASM_4.4661.2_Akon	PF06200	tify domain
evm.model.HIC_ASM_4.4661.2_Akon	PF00320	GATA zinc finger
evm.model.HIC_ASM_4.4661.2_Akon	PF06203	CCT motif
evm.model.HIC_ASM_3.9_Akon	PF00504	Chlorophyll A-B binding protein
evm.model.CTG_14640.1_Akon	PF01416	tRNA pseudouridine synthase
evm.model.HIC_ASM_1.3810_Akon	PF07992	Pyridine nucleotide-disulphide oxidoreductase
evm.model.HIC_ASM_12.437_Akon	PF01293	Phosphoenolpyruvate carboxykinase
evm.model.CTG_13738.3_Akon	PF00022	Actin
evm.model.HIC_ASM_4.2726_evm.model.HIC_ASM_4.2727_Akon	PF14368	Probable lipid transfer
evm.model.HIC_ASM_4.2685_Akon	PF14368	Probable lipid transfer
evm.model.HIC_ASM_0.2823_Akon	PF00025	ADP-ribosylation factor family
evm.model.CTG_13910.2_Akon	PF02535	ZIP Zinc transporter
evm.model.HIC_ASM_3.8936_Akon	PF01263	Aldose 1-epimerase
evm.model.CTG_17923.1_Akon	PF18784	CRM1_repeat_2
evm.model.CTG_17923.1_Akon	PF18787	CRM1_repeat_3
evm.model.CTG_17923.1_Akon	PF18777	CRM1_repeat
evm.model.CTG_17923.1_Akon	PF08767	CRM1 C terminal
evm.model.CTG_17923.1_Akon	PF03810	Importin-beta N-terminal domain
evm.model.CTG_17923.1_Akon	PF08389	Exportin 1-like protein
evm.model.HIC_ASM_10.6222_Akon	PF09273	Rubisco LSMT substrate-binding
evm.model.HIC_ASM_10.6222_Akon	PF00856	SET domain
evm.model.HIC_ASM_1.3811_Akon	PF07992	Pyridine nucleotide-disulphide oxidoreductase
evm.model.CTG_10229.9_Akon	PF01496	V-type ATPase 116kDa subunit family
evm.model.HIC_ASM_12.3724_Akon	PF00091	Tubulin/FtsZ family, GTPase domain
evm.model.HIC_ASM_12.3724_Akon	PF03953	Tubulin C-terminal domain
evm.model.HIC_ASM_3.7495_Akon	PF00069	Protein kinase domain
evm.model.CTG_8975.7.1_Akon	PF08449	UAA transporter family
evm.model.HIC_ASM_4.12078.1_Akon	PF00736	EF-1 guanine nucleotide exchange domain
evm.model.HIC_ASM_12.4674_Akon	PF00240	Ubiquitin family
evm.model.CTG_18730.1_Akon	PF01764	Lipase (class 3)
evm.model.HIC_ASM_7.7436_Akon	PF02701	Dof domain, zinc finger
evm.model.CTG_11987.4_Akon	PF05047	Mitochondrial ribosomal protein L51 / S25 / CI-B8 domain
evm.model.HIC_ASM_12.1665_Akon	PF03357	Snf7
evm.model.HIC_ASM_4.5462_Akon	PF01661	Macro domain
evm.model.HIC_ASM_5.8884_Akon	PF07798	Protein of unknown function (DUF1640)
evm.model.CTG_17730.4_Akon	PF07798	Protein of unknown function (DUF1640)
evm.model.HIC_ASM_11.6581_Akon	PF00145	C-5 cytosine-specific DNA methylase
evm.model.HIC_ASM_2.79_Akon	PF12697	Alpha/beta hydrolase family
evm.model.HIC_ASM_5.9853_Akon	PF03381	LEM3 (ligand-effect modulator 3) family / CDC50 family
evm.model.HIC_ASM_11.6908_Akon	PF14226	non-haem dioxygenase in morphine synthesis N-terminal
evm.model.HIC_ASM_11.6908_Akon	PF03171	2OG-Fe(II) oxygenase superfamily
evm.model.HIC_ASM_12.4991_Akon	PF00436	Single-strand binding protein family
evm.model.HIC_ASM_8.6332_Akon	PF00125	Core histone H2A/H2B/H3/H4
evm.model.CTG_15239.23_Akon	PF00016	Ribulose bisphosphate carboxylase large chain, catalytic domain
evm.model.HIC_ASM_1.6982_Akon	PF00016	Ribulose bisphosphate carboxylase large chain, catalytic domain
evm.model.HIC_ASM_5.10621_Akon	PF04640	PLATZ transcription factor
evm.model.CTG_13641.3_Akon	PF00572	Ribosomal protein L13
evm.model.HIC_ASM_10.2092_Akon	PF01521	Iron-sulphur cluster biosynthesis
evm.model.HIC_ASM_11.1281_Akon	PF01521	Iron-sulphur cluster biosynthesis
evm.model.HIC_ASM_8.4407_Akon	PF00294	pfkB family carbohydrate kinase
evm.model.CTG_10385.6_Akon	PF01988	VIT family
evm.model.HIC_ASM_10.1223_Akon	PF04520	Senescence regulator
evm.model.HIC_ASM_7.7629_Akon	PF03169	OPT oligopeptide transporter protein
evm.model.CTG_9304.6_Akon	PF14569	Zinc-binding RING-finger
evm.model.CTG_9304.6_Akon	PF03552	Cellulose synthase
evm.model.HIC_ASM_11.2741_Akon	PF00274	Fructose-bisphosphate aldolase class-I
evm.model.HIC_ASM_3.407_Akon	PF05056	Protein of unknown function (DUF674)
evm.model.CTG_19997.4_Akon	PF00168	C2 domain
evm.model.CTG_19997.4_Akon	PF17047	Synaptotagmin-like mitochondrial-lipid-binding domain
evm.model.HIC_ASM_10.496_Akon	PF00685	Sulfotransferase domain
evm.model.HIC_ASM_4.11740_Akon	PF01419	Jacalin-like lectin domain
evm.model.HIC_ASM_11.3923_Akon	PF00016	Ribulose bisphosphate carboxylase large chain, catalytic domain
evm.model.HIC_ASM_4.1617_Akon	PF03514	GRAS domain family
evm.model.HIC_ASM_9.2208_Akon	PF13181	Tetratricopeptide repeat
evm.model.HIC_ASM_11.1907_Akon	PF02362	B3 DNA binding domain
