queryid_pep	go_id	go_term	go_domain
evm.model.HIC_ASM_1.906_Akon	GO:0016887	ATPase activity	MF
evm.model.HIC_ASM_1.906_Akon	GO:0044183	protein folding chaperone	MF
evm.model.HIC_ASM_4.222_Akon	GO:0005783	endoplasmic reticulum	CC
evm.model.HIC_ASM_4.222_Akon	GO:0016491	oxidoreductase activity	MF
evm.model.HIC_ASM_3.1478_Akon	GO:0009627	systemic acquired resistance	BP
evm.model.HIC_ASM_3.1478_Akon	GO:0005504	fatty acid binding	MF
evm.model.HIC_ASM_7.3557.1_Akon	GO:0006596	polyamine biosynthetic process	BP
evm.model.HIC_ASM_7.3557.1_Akon	GO:0004766	spermidine synthase activity	MF
evm.model.HIC_ASM_9.547_Akon	GO:0003712	transcription coregulator activity	MF
evm.model.HIC_ASM_9.547_Akon	GO:0006355	regulation of transcription, DNA-templated	BP
evm.model.HIC_ASM_9.547_Akon	GO:0000118	histone deacetylase complex	CC
evm.model.HIC_ASM_5.2800_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_5.2800_Akon	GO:0009706	chloroplast inner membrane	CC
evm.model.HIC_ASM_11.1789_Akon	GO:0003677	DNA binding	MF
evm.model.HIC_ASM_11.1789_Akon	GO:0005524	ATP binding	MF
evm.model.HIC_ASM_11.1789_Akon	GO:0005663	DNA replication factor C complex	CC
evm.model.HIC_ASM_11.1789_Akon	GO:0009536	plastid	CC
evm.model.HIC_ASM_11.1789_Akon	GO:0006261	DNA-dependent DNA replication	BP
evm.model.HIC_ASM_11.1789_Akon	GO:0006281	DNA repair	BP
evm.model.HIC_ASM_11.1789_Akon	GO:0005634	nucleus	CC
evm.model.HIC_ASM_11.1789_Akon	GO:0016887	ATPase activity	MF
evm.model.HIC_ASM_11.1802_Akon	GO:0016887	ATPase activity	MF
evm.model.HIC_ASM_11.1802_Akon	GO:0006260	DNA replication	BP
evm.model.HIC_ASM_11.1802_Akon	GO:0005524	ATP binding	MF
evm.model.HIC_ASM_11.1802_Akon	GO:0009536	plastid	CC
evm.model.HIC_ASM_11.1802_Akon	GO:0003677	DNA binding	MF
evm.model.HIC_ASM_1.1134_Akon	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
evm.model.HIC_ASM_1.1134_Akon	GO:0019901	protein kinase binding	MF
evm.model.HIC_ASM_1.1145_Akon	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
evm.model.HIC_ASM_1.1145_Akon	GO:0019901	protein kinase binding	MF
evm.model.HIC_ASM_4.12286_Akon	GO:0008168	methyltransferase activity	MF
evm.model.HIC_ASM_4.12286_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_4.12286_Akon	GO:0032259	methylation	BP
evm.model.CTG_10841.9_Akon	GO:0006952	defense response	BP
evm.model.CTG_10841.9_Akon	GO:0009607	response to biotic stimulus	BP
evm.model.CTG_10841.9_Akon	GO:0005615	extracellular space	CC
evm.model.HIC_ASM_4.471_Akon	GO:0003755	peptidyl-prolyl cis-trans isomerase activity	MF
evm.model.HIC_ASM_4.471_Akon	GO:0009507	chloroplast	CC
evm.model.CTG_6185.18_Akon	GO:0009909	regulation of flower development	BP
evm.model.HIC_ASM_8.947_Akon	GO:0051603	proteolysis involved in cellular protein catabolic process	BP
evm.model.HIC_ASM_8.947_Akon	GO:0005615	extracellular space	CC
evm.model.HIC_ASM_8.947_Akon	GO:0005764	lysosome	CC
evm.model.HIC_ASM_8.947_Akon	GO:0004197	cysteine-type endopeptidase activity	MF
evm.model.HIC_ASM_4.738_Akon	GO:0003887	DNA-directed DNA polymerase activity	MF
evm.model.HIC_ASM_4.738_Akon	GO:0006303	double-strand break repair via nonhomologous end joining	BP
evm.model.HIC_ASM_4.738_Akon	GO:0005634	nucleus	CC
evm.model.HIC_ASM_4.738_Akon	GO:0046872	metal ion binding	MF
evm.model.HIC_ASM_4.738_Akon	GO:0003677	DNA binding	MF
evm.model.CTG_3037.2_Akon	GO:0006457	protein folding	BP
evm.model.CTG_3037.2_Akon	GO:0015031	protein transport	BP
evm.model.HIC_ASM_2.89_Akon	GO:0005506	iron ion binding	MF
evm.model.HIC_ASM_2.89_Akon	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	MF
evm.model.HIC_ASM_2.89_Akon	GO:0020037	heme binding	MF
evm.model.HIC_ASM_2.89_Akon	GO:0004497	monooxygenase activity	MF
evm.model.CTG_18278.3_Akon	GO:0016021	integral component of membrane	CC
evm.model.CTG_10847.10_Akon	GO:0003723	RNA binding	MF
evm.model.CTG_10847.10_Akon	GO:0048026	positive regulation of mRNA splicing, via spliceosome	BP
evm.model.CTG_10847.10_Akon	GO:0005681	spliceosomal complex	CC
evm.model.CTG_10847.10_Akon	GO:0005730	nucleolus	CC
evm.model.CTG_10847.10_Akon	GO:0005689	U12-type spliceosomal complex	CC
evm.model.HIC_ASM_1.10635_Akon	GO:0005509	calcium ion binding	MF
evm.model.HIC_ASM_1.10635_Akon	GO:0005829	cytosol	CC
evm.model.HIC_ASM_1.10635_Akon	GO:0048528	post-embryonic root development	BP
evm.model.HIC_ASM_1.10635_Akon	GO:0005634	nucleus	CC
evm.model.HIC_ASM_1.10635_Akon	GO:0005886	plasma membrane	CC
evm.model.HIC_ASM_1.454_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_5.12256_Akon	GO:0048015	phosphatidylinositol-mediated signaling	BP
evm.model.HIC_ASM_5.12256_Akon	GO:0016301	kinase activity	MF
evm.model.HIC_ASM_5.12256_Akon	GO:0046854	phosphatidylinositol phosphorylation	BP
evm.model.HIC_ASM_4.13580_Akon	GO:0016020	membrane	CC
evm.model.HIC_ASM_4.13580_Akon	GO:0005576	extracellular region	CC
evm.model.HIC_ASM_4.13580_Akon	GO:0080167	response to karrikin	BP
evm.model.HIC_ASM_4.13580_Akon	GO:0009664	plant-type cell wall organization	BP
evm.model.HIC_ASM_4.13580_Akon	GO:0005618	cell wall	CC
evm.model.HIC_ASM_4.13580_Akon	GO:0006949	syncytium formation	BP
evm.model.HIC_ASM_2.247_Akon	GO:0016881	acid-amino acid ligase activity	MF
evm.model.HIC_ASM_2.247_Akon	GO:0005737	cytoplasm	CC
evm.model.HIC_ASM_12.4359_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_12.4359_Akon	GO:0005774	vacuolar membrane	CC
evm.model.CTG_17476.11_Akon	GO:0102337	3-oxo-cerotoyl-CoA synthase activity	MF
evm.model.CTG_17476.11_Akon	GO:0016021	integral component of membrane	CC
evm.model.CTG_17476.11_Akon	GO:0102338	3-oxo-lignoceronyl-CoA synthase activity	MF
evm.model.CTG_17476.11_Akon	GO:0006633	fatty acid biosynthetic process	BP
evm.model.CTG_17476.11_Akon	GO:0102336	3-oxo-arachidoyl-CoA synthase activity	MF
evm.model.CTG_17476.11_Akon	GO:0102756	very-long-chain 3-ketoacyl-CoA synthase activity	MF
evm.model.HIC_ASM_0.774_Akon	GO:0042797	tRNA transcription by RNA polymerase III	BP
evm.model.HIC_ASM_0.774_Akon	GO:0005736	RNA polymerase I complex	CC
evm.model.HIC_ASM_0.774_Akon	GO:0006366	transcription by RNA polymerase II	BP
evm.model.HIC_ASM_0.774_Akon	GO:0003677	DNA binding	MF
evm.model.HIC_ASM_0.774_Akon	GO:0008270	zinc ion binding	MF
evm.model.HIC_ASM_0.774_Akon	GO:0006360	transcription by RNA polymerase I	BP
evm.model.HIC_ASM_0.774_Akon	GO:0005665	RNA polymerase II, core complex	CC
evm.model.HIC_ASM_0.774_Akon	GO:0005666	RNA polymerase III complex	CC
evm.model.HIC_ASM_0.774_Akon	GO:0003899	DNA-directed 5'-3' RNA polymerase activity	MF
evm.model.HIC_ASM_10.6853_Akon	GO:0005634	nucleus	CC
evm.model.HIC_ASM_10.6853_Akon	GO:0030154	cell differentiation	BP
evm.model.HIC_ASM_10.6853_Akon	GO:0000976	transcription regulatory region sequence-specific DNA binding	MF
evm.model.CTG_9042.7_Akon	GO:0005737	cytoplasm	CC
evm.model.CTG_9042.7_Akon	GO:0051082	unfolded protein binding	MF
evm.model.CTG_9042.7_Akon	GO:0006355	regulation of transcription, DNA-templated	BP
evm.model.CTG_9042.7_Akon	GO:0006457	protein folding	BP
evm.model.CTG_9042.7_Akon	GO:0016272	prefoldin complex	CC
evm.model.CTG_16454.1_Akon	GO:0006306	DNA methylation	BP
evm.model.CTG_16454.1_Akon	GO:0008168	methyltransferase activity	MF
evm.model.HIC_ASM_0.2537_Akon	GO:0006306	DNA methylation	BP
evm.model.HIC_ASM_0.2537_Akon	GO:0008168	methyltransferase activity	MF
evm.model.HIC_ASM_4.2445_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_4.2433_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_3.145_Akon	GO:0016491	oxidoreductase activity	MF
evm.model.HIC_ASM_1.220_evm.model.HIC_ASM_1.221_Akon	GO:0016567	protein ubiquitination	BP
evm.model.HIC_ASM_6.9156_Akon	GO:0005829	cytosol	CC
evm.model.HIC_ASM_6.9156_Akon	GO:0004602	glutathione peroxidase activity	MF
evm.model.HIC_ASM_6.9156_Akon	GO:0006979	response to oxidative stress	BP
evm.model.HIC_ASM_6.9156_Akon	GO:0004601	peroxidase activity	MF
evm.model.CTG_15485.14_Akon	GO:0008168	methyltransferase activity	MF
evm.model.CTG_15485.14_Akon	GO:0004372	glycine hydroxymethyltransferase activity	MF
evm.model.CTG_15485.14_Akon	GO:0016597	amino acid binding	MF
evm.model.CTG_15485.14_Akon	GO:0006730	one-carbon metabolic process	BP
evm.model.CTG_15485.14_Akon	GO:0046655	folic acid metabolic process	BP
evm.model.CTG_15485.14_Akon	GO:0046653	tetrahydrofolate metabolic process	BP
evm.model.CTG_15485.14_Akon	GO:0050897	cobalt ion binding	MF
evm.model.CTG_15485.14_Akon	GO:0035999	tetrahydrofolate interconversion	BP
evm.model.CTG_15485.14_Akon	GO:0070905	serine binding	MF
evm.model.CTG_15485.14_Akon	GO:0032259	methylation	BP
evm.model.CTG_15485.14_Akon	GO:1904482	cellular response to tetrahydrofolate	BP
evm.model.CTG_15485.14_Akon	GO:0006565	L-serine catabolic process	BP
evm.model.CTG_15485.14_Akon	GO:0019264	glycine biosynthetic process from serine	BP
evm.model.CTG_15485.14_Akon	GO:0006544	glycine metabolic process	BP
evm.model.CTG_15485.14_Akon	GO:0030170	pyridoxal phosphate binding	MF
evm.model.CTG_15485.14_Akon	GO:0008270	zinc ion binding	MF
evm.model.HIC_ASM_8.7381_Akon	GO:0008194	UDP-glycosyltransferase activity	MF
evm.model.HIC_ASM_4.6635_Akon	GO:0008097	5S rRNA binding	MF
evm.model.HIC_ASM_4.6635_Akon	GO:0005840	ribosome	CC
evm.model.HIC_ASM_4.6635_Akon	GO:0003735	structural constituent of ribosome	MF
evm.model.HIC_ASM_4.6635_Akon	GO:0006412	translation	BP
evm.model.HIC_ASM_1.121_Akon	GO:0000914	phragmoplast assembly	BP
evm.model.HIC_ASM_1.121_Akon	GO:0009574	preprophase band	CC
evm.model.HIC_ASM_1.121_Akon	GO:0005875	microtubule associated complex	CC
evm.model.CTG_5072.2_evm.model.CTG_5072.4_Akon	GO:0016149	translation release factor activity, codon specific	MF
evm.model.CTG_5072.2_evm.model.CTG_5072.4_Akon	GO:0005737	cytoplasm	CC
evm.model.HIC_ASM_5.12040_Akon	GO:1990592	protein K69-linked ufmylation	BP
evm.model.HIC_ASM_5.12040_Akon	GO:0071568	UFM1 transferase activity	MF
evm.model.HIC_ASM_9.9733_Akon	GO:0003723	RNA binding	MF
evm.model.HIC_ASM_6.8027_Akon	GO:0016788	hydrolase activity, acting on ester bonds	MF
evm.model.HIC_ASM_1.1149_Akon	GO:0043565	sequence-specific DNA binding	MF
evm.model.HIC_ASM_1.1149_Akon	GO:0008270	zinc ion binding	MF
evm.model.HIC_ASM_1.1149_Akon	GO:0005634	nucleus	CC
evm.model.HIC_ASM_1.1149_Akon	GO:0006355	regulation of transcription, DNA-templated	BP
evm.model.HIC_ASM_12.2053_Akon	GO:0004650	polygalacturonase activity	MF
evm.model.HIC_ASM_12.2053_Akon	GO:0005975	carbohydrate metabolic process	BP
evm.model.HIC_ASM_12.2053_Akon	GO:0016829	lyase activity	MF
evm.model.HIC_ASM_12.2053_Akon	GO:0005618	cell wall	CC
evm.model.HIC_ASM_4.13668_Akon	GO:0006629	lipid metabolic process	BP
evm.model.HIC_ASM_4.13668_Akon	GO:0004620	phospholipase activity	MF
evm.model.HIC_ASM_0.6365_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_0.6365_Akon	GO:0009535	chloroplast thylakoid membrane	CC
evm.model.HIC_ASM_0.6365_Akon	GO:0009538	photosystem I reaction center	CC
evm.model.HIC_ASM_0.6365_Akon	GO:0015979	photosynthesis	BP
evm.model.HIC_ASM_1.2052_Akon	GO:0018298	protein-chromophore linkage	BP
evm.model.HIC_ASM_1.2052_Akon	GO:0009941	chloroplast envelope	CC
evm.model.HIC_ASM_1.2052_Akon	GO:0016168	chlorophyll binding	MF
evm.model.HIC_ASM_1.2052_Akon	GO:0009416	response to light stimulus	BP
evm.model.HIC_ASM_1.2052_Akon	GO:0010287	plastoglobule	CC
evm.model.HIC_ASM_1.2052_Akon	GO:0009523	photosystem II	CC
evm.model.HIC_ASM_1.2052_Akon	GO:0009522	photosystem I	CC
evm.model.HIC_ASM_1.2052_Akon	GO:0009768	photosynthesis, light harvesting in photosystem I	BP
evm.model.HIC_ASM_1.2052_Akon	GO:0009535	chloroplast thylakoid membrane	CC
evm.model.HIC_ASM_10.55_Akon	GO:0022857	transmembrane transporter activity	MF
evm.model.HIC_ASM_10.55_Akon	GO:0016021	integral component of membrane	CC
evm.model.CTG_1961.3_Akon	GO:0006412	translation	BP
evm.model.CTG_1961.3_Akon	GO:0003735	structural constituent of ribosome	MF
evm.model.CTG_1961.3_Akon	GO:0022627	cytosolic small ribosomal subunit	CC
evm.model.HIC_ASM_5.3612_Akon	GO:0006412	translation	BP
evm.model.HIC_ASM_5.3612_Akon	GO:0003735	structural constituent of ribosome	MF
evm.model.HIC_ASM_5.3612_Akon	GO:0022627	cytosolic small ribosomal subunit	CC
evm.model.HIC_ASM_8.6323_Akon	GO:0005634	nucleus	CC
evm.model.HIC_ASM_11.1976_Akon	GO:0003735	structural constituent of ribosome	MF
evm.model.HIC_ASM_11.1976_Akon	GO:0005840	ribosome	CC
evm.model.HIC_ASM_11.1976_Akon	GO:0006414	translational elongation	BP
evm.model.HIC_ASM_7.7458_Akon	GO:0005506	iron ion binding	MF
evm.model.HIC_ASM_7.7458_Akon	GO:0016020	membrane	CC
evm.model.HIC_ASM_7.7458_Akon	GO:0080065	4-alpha-methyl-delta7-sterol oxidation	BP
evm.model.HIC_ASM_7.7458_Akon	GO:0000254	C-4 methylsterol oxidase activity	MF
evm.model.HIC_ASM_7.7458_Akon	GO:0016126	sterol biosynthetic process	BP
evm.model.HIC_ASM_7.7458_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_7.7458_Akon	GO:0005789	endoplasmic reticulum membrane	CC
evm.model.HIC_ASM_7.7458_Akon	GO:0016491	oxidoreductase activity	MF
evm.model.HIC_ASM_9.9828_Akon	GO:0046982	protein heterodimerization activity	MF
evm.model.HIC_ASM_9.9828_Akon	GO:0003677	DNA binding	MF
evm.model.HIC_ASM_9.9828_Akon	GO:0000786	nucleosome	CC
evm.model.HIC_ASM_9.9828_Akon	GO:0006342	chromatin silencing	BP
evm.model.HIC_ASM_9.9828_Akon	GO:0000790	chromatin	CC
evm.model.HIC_ASM_9.9828_Akon	GO:0006325	chromatin organization	BP
evm.model.CTG_2443.10_Akon	GO:0016787	hydrolase activity	MF
evm.model.HIC_ASM_10.1918_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_4.14845_Akon	GO:0005524	ATP binding	MF
evm.model.HIC_ASM_4.14845_Akon	GO:0004335	galactokinase activity	MF
evm.model.HIC_ASM_4.14845_Akon	GO:0047912	galacturonokinase activity	MF
evm.model.HIC_ASM_4.14845_Akon	GO:0005829	cytosol	CC
evm.model.HIC_ASM_4.14845_Akon	GO:0006012	galactose metabolic process	BP
evm.model.HIC_ASM_11.5529_Akon	GO:0046923	ER retention sequence binding	MF
evm.model.HIC_ASM_11.5529_Akon	GO:0005789	endoplasmic reticulum membrane	CC
evm.model.HIC_ASM_11.5529_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_11.5529_Akon	GO:0006621	protein retention in ER lumen	BP
evm.model.HIC_ASM_11.5529_Akon	GO:0015031	protein transport	BP
evm.model.CTG_9306.2_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_5.11377_Akon	GO:0008270	zinc ion binding	MF
evm.model.HIC_ASM_5.11377_Akon	GO:0005634	nucleus	CC
evm.model.HIC_ASM_5.11377_Akon	GO:0003723	RNA binding	MF
evm.model.HIC_ASM_5.11337_Akon	GO:0008270	zinc ion binding	MF
evm.model.HIC_ASM_5.11337_Akon	GO:0005634	nucleus	CC
evm.model.HIC_ASM_5.11337_Akon	GO:0003723	RNA binding	MF
evm.model.HIC_ASM_3.993_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_4.1553_Akon	GO:0007264	small GTPase mediated signal transduction	BP
evm.model.HIC_ASM_4.1553_Akon	GO:0005085	guanyl-nucleotide exchange factor activity	MF
evm.model.HIC_ASM_1.56_Akon	GO:0005737	cytoplasm	CC
evm.model.HIC_ASM_1.56_Akon	GO:0004175	endopeptidase activity	MF
evm.model.HIC_ASM_1.56_Akon	GO:0004298	threonine-type endopeptidase activity	MF
evm.model.HIC_ASM_1.56_Akon	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	BP
evm.model.HIC_ASM_1.56_Akon	GO:0005839	proteasome core complex	CC
evm.model.HIC_ASM_1.56_Akon	GO:0010498	proteasomal protein catabolic process	BP
evm.model.HIC_ASM_1.56_Akon	GO:0005634	nucleus	CC
evm.model.HIC_ASM_1.56_Akon	GO:0019773	proteasome core complex, alpha-subunit complex	CC
evm.model.HIC_ASM_1.56_Akon	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	BP
evm.model.CTG_14290.5_Akon	GO:0004722	protein serine/threonine phosphatase activity	MF
evm.model.HIC_ASM_4.508_Akon	GO:0022857	transmembrane transporter activity	MF
evm.model.HIC_ASM_4.508_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_4.12172_Akon	GO:0000139	Golgi membrane	CC
evm.model.HIC_ASM_4.12172_Akon	GO:0006506	GPI anchor biosynthetic process	BP
evm.model.HIC_ASM_4.12172_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_8.6756_Akon	GO:0000139	Golgi membrane	CC
evm.model.HIC_ASM_8.6756_Akon	GO:0006506	GPI anchor biosynthetic process	BP
evm.model.HIC_ASM_8.6756_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_11.2887_Akon	GO:0000139	Golgi membrane	CC
evm.model.HIC_ASM_11.2887_Akon	GO:0006506	GPI anchor biosynthetic process	BP
evm.model.HIC_ASM_11.2887_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_6.8596_Akon	GO:0005730	nucleolus	CC
evm.model.CTG_6316.5_Akon	GO:0016021	integral component of membrane	CC
evm.model.CTG_6316.5_Akon	GO:0042910	xenobiotic transmembrane transporter activity	MF
evm.model.CTG_6316.5_Akon	GO:0015297	antiporter activity	MF
evm.model.HIC_ASM_0.2119_Akon	GO:0008234	cysteine-type peptidase activity	MF
evm.model.HIC_ASM_7.156_Akon	GO:0031201	SNARE complex	CC
evm.model.HIC_ASM_7.156_Akon	GO:0048278	vesicle docking	BP
evm.model.HIC_ASM_7.156_Akon	GO:0005886	plasma membrane	CC
evm.model.HIC_ASM_7.156_Akon	GO:0006906	vesicle fusion	BP
evm.model.HIC_ASM_7.156_Akon	GO:0005484	SNAP receptor activity	MF
evm.model.HIC_ASM_7.156_Akon	GO:0006886	intracellular protein transport	BP
evm.model.HIC_ASM_7.156_Akon	GO:0000149	SNARE binding	MF
evm.model.HIC_ASM_7.156_Akon	GO:0012505	endomembrane system	CC
evm.model.HIC_ASM_7.156_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_7.156_Akon	GO:0006887	exocytosis	BP
evm.model.HIC_ASM_11.2453_Akon	GO:0046872	metal ion binding	MF
evm.model.HIC_ASM_11.2453_Akon	GO:0004386	helicase activity	MF
evm.model.HIC_ASM_11.2453_Akon	GO:0005524	ATP binding	MF
evm.model.HIC_ASM_11.2453_Akon	GO:0005634	nucleus	CC
evm.model.HIC_ASM_6.7501_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_4.13238_Akon	GO:0005737	cytoplasm	CC
evm.model.HIC_ASM_4.13238_Akon	GO:0010468	regulation of gene expression	BP
evm.model.HIC_ASM_4.13238_Akon	GO:0005524	ATP binding	MF
evm.model.HIC_ASM_4.13238_Akon	GO:0035556	intracellular signal transduction	BP
evm.model.HIC_ASM_4.13238_Akon	GO:0004707	MAP kinase activity	MF
evm.model.HIC_ASM_4.13238_Akon	GO:0005634	nucleus	CC
evm.model.HIC_ASM_4.12898_Akon	GO:0005634	nucleus	CC
evm.model.HIC_ASM_4.14725_Akon	GO:0005634	nucleus	CC
evm.model.HIC_ASM_4.1175_Akon	GO:0003723	RNA binding	MF
evm.model.HIC_ASM_9.389_evm.model.HIC_ASM_9.390_evm.model.HIC_ASM_9.391_Akon	GO:0050832	defense response to fungus	BP
evm.model.HIC_ASM_9.389_evm.model.HIC_ASM_9.390_evm.model.HIC_ASM_9.391_Akon	GO:0042742	defense response to bacterium	BP
evm.model.HIC_ASM_8.893_Akon	GO:0005525	GTP binding	MF
evm.model.HIC_ASM_10.567_Akon	GO:0004252	serine-type endopeptidase activity	MF
evm.model.HIC_ASM_10.578_Akon	GO:0004252	serine-type endopeptidase activity	MF
evm.model.HIC_ASM_9.345_Akon	GO:0008519	ammonium transmembrane transporter activity	MF
evm.model.HIC_ASM_9.345_Akon	GO:0005887	integral component of plasma membrane	CC
evm.model.CTG_8102.1_Akon	GO:0016021	integral component of membrane	CC
evm.model.CTG_8102.1_Akon	GO:0015267	channel activity	MF
evm.model.HIC_ASM_5.8939_Akon	GO:0050660	flavin adenine dinucleotide binding	MF
evm.model.HIC_ASM_5.8939_Akon	GO:0017150	tRNA dihydrouridine synthase activity	MF
evm.model.HIC_ASM_4.12366_Akon	GO:0001664	G protein-coupled receptor binding	MF
evm.model.HIC_ASM_4.12366_Akon	GO:0003924	GTPase activity	MF
evm.model.HIC_ASM_4.12366_Akon	GO:0019001	guanyl nucleotide binding	MF
evm.model.HIC_ASM_4.12366_Akon	GO:0005834	heterotrimeric G-protein complex	CC
evm.model.HIC_ASM_4.12366_Akon	GO:0031683	G-protein beta/gamma-subunit complex binding	MF
evm.model.HIC_ASM_4.12366_Akon	GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	BP
evm.model.HIC_ASM_8.7165_Akon	GO:0003743	translation initiation factor activity	MF
evm.model.HIC_ASM_10.1642_Akon	GO:0005525	GTP binding	MF
evm.model.HIC_ASM_10.1642_Akon	GO:0003924	GTPase activity	MF
evm.model.HIC_ASM_5.8859_Akon	GO:0008553	proton-exporting ATPase activity, phosphorylative mechanism	MF
evm.model.HIC_ASM_5.8859_Akon	GO:0120029	proton export across plasma membrane	BP
evm.model.HIC_ASM_5.8859_Akon	GO:0005886	plasma membrane	CC
evm.model.HIC_ASM_5.8859_Akon	GO:0005524	ATP binding	MF
evm.model.HIC_ASM_5.8859_Akon	GO:0016021	integral component of membrane	CC
evm.model.HIC_ASM_11.6647_Akon	GO:0005576	extracellular region	CC
evm.model.HIC_ASM_11.6647_Akon	GO:0009664	plant-type cell wall organization	BP
evm.model.HIC_ASM_11.6647_Akon	GO:0016020	membrane	CC
